LFQ.intensity.11930	LFQ.intensity.11931	LFQ.intensity.11932	LFQ.intensity.11934	LFQ.intensity.12902	LFQ.intensity.12904	LFQ.intensity.12905	LFQ.intensity.13136	LFQ.intensity.13138	LFQ.intensity.13152	LFQ.intensity.13155	LFQ.intensity.13186	LFQ.intensity.13234	C: ANOVA Significant	N: -Log ANOVA p value	N: ANOVA q-value	T: Protein_IDs	T: Significant pairs
26.3747	26.2731	26.6436	26.1857	26.1883	26.3044	26.1567	26.8812	28.1334	28.0127	25.5597	27.9915	28.3425	+	4.92663	0.000310345	NP_001038075.1	DMD_WT;DMD_BMD
26.0768	26.2312	26.5673	26.4677	26.8191	26.3566	26.5999	27.0003	27.9864	28.3982	27.0196	28.2999	28.486	+	5.90141	0.000271186	NP_001038077.1;CON__ENSEMBL:ENSBTAP00000025008	DMD_BMD;DMD_WT
20.4512	22.1053	21.0126	22.0736	21.4014	21.1487	20.6213	20.9276	24.7921	24.8687	20.7419	24.9646	24.8615	+	6.14865	0.00032	XP_020932993.1;XP_020932992.1;XP_005672893.1;NP_001038078.1	DMD_WT;DMD_BMD
20.5136	20.8896	20.6849	20.8595	20.8715	21.9033	21.3015	20.6839	25.0737	24.7389	20.8028	24.5169	25.3308	+	7.43925	0.000181818	NP_001041537.1;NP_001138693.1;XP_020924286.1	DMD_BMD;DMD_WT
24.1937	24.2197	24.11	24.1253	20.9141	24.4957	24.4118	21.3691	25.1462	25.6095	24.4874	25.0238	25.7752	+	1.30029	0.0217785	NP_001041538.1	DMD_WT
26.3297	26.9214	26.3872	26.3732	26.7912	26.641	26.6248	26.2771	27.3858	27.0977	26.5447	27.474	27.6015	+	3.43716	0.000420091	NP_001070681.1	DMD_BMD;DMD_WT
24.3272	24.2836	24.3961	24.2382	24.0997	24.5435	24.3496	24.4615	25.8162	25.7069	24.1786	25.4278	26.0398	+	6.18881	0.000333333	XP_005663912.1;NP_001070686.1;XP_005663911.1	DMD_BMD;DMD_WT
23.2564	24.3832	25.2241	20.5291	21.6775	21.0014	22.0256	22.0987	25.0664	25.4813	23.4799	24.8295	25.7973	+	1.92314	0.00548815	XP_020921924.1;XP_020921923.1;NP_001072130.1;CON__Q95121	DMD_WT
27.0445	27.0524	27.0984	27.0148	26.6263	26.6656	26.7466	26.7571	27.4193	27.4113	26.6964	27.4076	26.7997	+	2.69093	0.00132	XP_020954051.1;XP_020954050.1;XP_020954049.1;XP_020954048.1;XP_020954047.1;XP_020954045.1;NP_001072151.1;XP_020954044.1;XP_020954043.1;XP_020954042.1;XP_020954041.1;XP_020954040.1;XP_020954053.1;XP_020954052.1;XP_020954054.1	BMD_WT;DMD_WT
27.8457	27.5942	28.0092	27.9483	27.7725	27.5444	27.8234	28.3824	28.8089	28.3365	27.3617	28.7889	28.3162	+	2.17523	0.00368649	NP_001072155.1	DMD_WT;DMD_BMD
26.0041	26.2543	26.6005	26.0841	26.2944	26.3879	26.9461	26.8143	29.1286	29.5796	27.064	29.5863	30.1204	+	6.92444	0.000266667	XP_005654459.1;NP_001090887.1	DMD_BMD;DMD_WT
21.3325	20.6199	23.409	20.5902	20.0594	20.6636	21.1601	21.2267	24.7877	21.7921	21.088	24.7993	27.2577	+	2.13275	0.00391512	NP_001090896.1;XP_020953509.1;XP_020953508.1;XP_020953531.1;XP_020953533.1;XP_020953534.1;NP_001090900.1;NP_001233171.1;XP_020954097.1;NP_001107176.1;NP_998933.1;XP_020953536.1;XP_013833074.2;XP_020953535.1;XP_013833071.1;XP_013833080.2;XP_005665845.2;NP_001107175.1;XP_020953941.1	DMD_WT;DMD_BMD
20.8058	23.3093	21.5408	23.2761	21.7752	20.3263	20.8359	20.9001	24.0511	24.2137	21.1292	20.9502	24.324	+	1.42379	0.0159207	NP_001090923.1	DMD_WT
20.848	21.4229	21.0292	21.3921	20.4195	20.3887	20.5121	20.5739	26.8526	27.0624	21.87	27.2366	27.051	+	8.73527	0	XP_020927423.1;XP_020927422.1;XP_013845747.1;XP_005657324.1;XP_005657323.1;NP_001090927.1;XP_005657322.3;XP_020927424.1	DMD_WT;DMD_BMD
26.2418	26.7689	26.3488	26.8224	25.4394	25.7663	26.4862	26.5754	26.0014	26.2227	25.5832	25.3124	25.4991	+	1.15677	0.0315312	NP_001090944.2	
