Significant	-Log(P-value)	Difference	Protein_IDs	Symbol color	Symbol type	Symbol size	Show label	LFQ.intensity.12902	LFQ.intensity.12904	LFQ.intensity.12905	LFQ.intensity.13136	LFQ.intensity.13138	LFQ.intensity.13152	LFQ.intensity.13155	LFQ.intensity.13186	LFQ.intensity.13234
+	4.30373910049999	1.13625545501709	NP_001005208.1;CON__P02769	Color2 [DarkGray]	1	4		34.1768989562988	34.3218040466309	34.08203125	34.1648902893066	35.4601135253906	35.1386222839355	33.7673225402832	35.0704803466797	35.2861633300781
+	5.66819164434804	2.59058513641357	XP_013848366.1;XP_005659594.1;NP_001005726.1	Color2 [DarkGray]	1	4		28.0596141815186	28.1961994171143	28.683012008667	28.6197147369385	30.7620830535889	31.1506767272949	28.6852531433105	30.9388771057129	31.3057384490967
	0.755988197125566	-0.324536514282229	NP_001006592.1	Color2 [DarkGray]	1	4		36.0648727416992	35.8783836364746	35.2808494567871	35.1061820983887	35.2180557250977	35.2045249938965	35.804988861084	35.4637413024902	35.3237533569336
	0.128964932099203	0.543112182617186	XP_020946854.1;NP_001007192.1	Color2 [DarkGray]	1	4		20.8240909576416	24.8464202880859	26.2036666870117	26.0714263916016	25.5279369354248	25.7091197967529	21.018798828125	21.5989456176758	24.5079689025879
	0.378035736264899	-0.292550182342531	NP_001007518.1	Color2 [DarkGray]	1	4		26.6951122283936	27.2273826599121	27.7904815673828	27.8029193878174	27.2547588348389	26.982723236084	26.4781551361084	26.4728813171387	26.9146766662598
	0.0361794814271012	0.0226609230041497	NP_001007519.1	Color2 [DarkGray]	1	4		30.8721752166748	31.0690727233887	30.9938850402832	31.3078022003174	31.3346862792969	30.6787548065186	30.3827800750732	31.0309829711914	30.7467918395996
	0.159468116899099	-0.10628604888916	NP_001008688.1	Color2 [DarkGray]	1	4		34.4726028442383	34.5125350952148	34.440788269043	34.1766738891602	34.5854225158691	33.974853515625	33.6288604736328	34.334846496582	33.6649017333984
	0.209559368554678	-0.0885298728942878	NP_001008689.1	Color2 [DarkGray]	1	4		25.6058025360107	25.7914390563965	25.9055004119873	26.144079208374	25.7056179046631	25.8171920776367	26.3459587097168	25.8160190582275	26.1412754058838
	0.105561731579806	0.140561103820801	NP_001008692.1;XP_020924276.1	Color2 [DarkGray]	1	4		26.6243591308594	27.1118755340576	27.9627323150635	28.0990867614746	27.9416217803955	27.2666912078857	26.1352596282959	27.497013092041	26.6035690307617
	0.26812066035249	0.0693309783935554	NP_001009576.1	Color2 [DarkGray]	1	4		25.3379020690918	25.5551128387451	25.2797298431396	25.1027355194092	25.4818840026855	25.3342914581299	25.4260807037354	25.2452125549316	25.577184677124
+	2.55080104553251	3.87796182632446	NP_001011727.1	Color2 [DarkGray]	1	4		20.8089771270752	21.4561672210693	20.7843189239502	24.7768077850342	25.7089347839355	25.5730571746826	21.0419311523438	25.6819877624512	25.6424293518066
+	6.38553328662363	-5.83141527175903	NP_001012408.1	Color2 [DarkGray]	1	4		27.1279983520508	27.1249465942383	27.0827369689941	27.0360107421875	21.5167198181152	20.5635623931885	27.2160453796387	22.2132701873779	20.8509769439697
+	2.75411060352007	0.505385494232179	XP_005656356.1;NP_001020386.1	Color2 [DarkGray]	1	4		28.5464992523193	28.3489570617676	28.6168785095215	28.6622085571289	28.9139060974121	28.9570121765137	28.3538017272949	29.2537002563477	28.9195995330811
	1.43834021300498	-0.295012855529784	NP_001020393.1;XP_020927838.1;XP_020927839.1	Color2 [DarkGray]	1	4		33.4877166748047	33.2146415710449	33.0532646179199	33.0450172424316	32.8447189331055	32.8395309448242	33.1519775390625	33.1242485046387	32.7735443115234
