x	y
15.91	3.83196
15.9	3.83204
15.89	3.83212
15.88	3.8322
15.87	3.83228
15.86	3.83236
15.85	3.83244
15.84	3.83252
15.83	3.8326
15.82	3.83268
15.81	3.83276
15.8	3.83284
15.79	3.83292
15.78	3.83301
15.77	3.83309
15.76	3.83317
15.75	3.83325
15.74	3.83333
15.73	3.83341
15.72	3.8335
15.71	3.83358
15.7	3.83366
15.69	3.83374
15.68	3.83383
15.67	3.83391
15.66	3.83399
15.65	3.83407
15.64	3.83416
15.63	3.83424
15.62	3.83432
15.61	3.83441
15.6	3.83449
15.59	3.83457
15.58	3.83466
15.57	3.83474
15.56	3.83482
15.55	3.83491
15.54	3.83499
15.53	3.83508
15.52	3.83516
15.51	3.83525
15.5	3.83533
15.49	3.83541
15.48	3.8355
15.47	3.83558
15.46	3.83567
15.45	3.83575
15.44	3.83584
15.43	3.83592
15.42	3.83601
15.41	3.8361
15.4	3.83618
15.39	3.83627
15.38	3.83635
15.37	3.83644
15.36	3.83652
15.35	3.83661
15.34	3.8367
15.33	3.83678
15.32	3.83687
15.31	3.83696
15.3	3.83704
15.29	3.83713
15.28	3.83722
15.27	3.8373
15.26	3.83739
15.25	3.83748
15.24	3.83757
15.23	3.83765
15.22	3.83774
15.21	3.83783
15.2	3.83792
15.19	3.83801
15.18	3.83809
15.17	3.83818
15.16	3.83827
15.15	3.83836
15.14	3.83845
15.13	3.83854
15.12	3.83863
15.11	3.83871
15.1	3.8388
15.09	3.83889
15.08	3.83898
15.07	3.83907
15.06	3.83916
15.05	3.83925
15.04	3.83934
15.03	3.83943
15.02	3.83952
15.01	3.83961
15	3.8397
14.99	3.83979
14.98	3.83988
14.97	3.83997
14.96	3.84006
14.95	3.84016
14.94	3.84025
14.93	3.84034
14.92	3.84043
14.91	3.84052
14.9	3.84061
14.89	3.8407
14.88	3.8408
14.87	3.84089
14.86	3.84098
14.85	3.84107
14.84	3.84117
14.83	3.84126
14.82	3.84135
14.81	3.84144
14.8	3.84154
14.79	3.84163
14.78	3.84172
14.77	3.84182
14.76	3.84191
14.75	3.842
14.74	3.8421
14.73	3.84219
14.72	3.84228
14.71	3.84238
14.7	3.84247
14.69	3.84257
14.68	3.84266
14.67	3.84276
14.66	3.84285
14.65	3.84295
14.64	3.84304
14.63	3.84314
14.62	3.84323
14.61	3.84333
14.6	3.84342
14.59	3.84352
14.58	3.84361
14.57	3.84371
14.56	3.84381
14.55	3.8439
14.54	3.844
14.53	3.84409
14.52	3.84419
14.51	3.84429
14.5	3.84438
14.49	3.84448
14.48	3.84458
14.47	3.84468
14.46	3.84477
14.45	3.84487
14.44	3.84497
14.43	3.84507
14.42	3.84517
